Tweet ID,Tweets with Decoded emojis,Final Annotation
1,نعم من علامات الجمال تلك الطيبه التي لاترى بل العين ولكنها تلمس القلب هذا هو الجمال الذي لايشيخ ابدا مساء الخيرات على كل من يحب السلام والخير ربي يحفظكم,ليست تهكم
2,المعرفه الجديده والمهارات الجديده واعتماد طرائق جديده في النظر الى الكون هي التي تبقي العقل والجسد في حال من النمو ويتجلى ذلك في التصميم على البقاء في حال من الجده في كل ثانيه من ثواني العمر دديباك شوبرا جسد لايشيخ عقل يتخطى الزمن,ليست تهكم
3,لايشيخ,تهكم
4,لايشيخ وكورونا بتزيده مناعه يعني كورونا العن ترا انا مناعتي ضعيفه وجتني اعراض من اللقاح يوم وراحت لو انها كورونا كان جت الاعراض اقوى وتستمر ايام,تهكم
5,لايشيخ و ليه المفروض اشتري بدل,تهكم
6,لايشيخ كيف يكتب وهو نايم,تهكم
7,لايشيخ بالله احلف الاداء و ناثير بالفرثق اثبت انهم الافضل ولا يمكن احد يتقارن معهم,ليست تهكم
8,طيب دانيه الغلط راكبنها من راسها لين رجولها و ماعندها لا قلب ولا مشاعر ولا تحس وكذابه وخاينه وضالمه وكل عيوب الدنيا فيها وش تبغو فيني دامني كذا اجي ابرر لك اني العكس مثلا انت نضرت لي بهالنضره وخلصت شوفني زي م تبغى يشيخ اني حتى ما اشوفك ثقتي فنفسي تكفيني عن الف واحد فيكم :joy:,ليست تهكم
9,لا لا توها جاتني تذكره :sob: الله لايحرمني منك يشيخ,ليست تهكم
10,تبا لمن لا يعشقك يشيخ,ليست تهكم
11,مصر التي حبها في دمي هلال هو الحب وحبها بدر التمام ينقص العمر وفي هواها الكمال؛ لا تهرم الروح فيها وفيها لا يشيخ الجمال مصر الهوى مصر الجوى مصر الضوى تعب كل هذا العمر وفي حبك يا مصر السلام :egypt::heart:,ليست تهكم
12,يشيخ حرك بس لا انصاف زي الناس ولا مفعلي التنبيهات,ليست تهكم
13,من يحتفظ بالقدره على مشاهده الجمال لا يشيخ ابدا فرانز كافاكا  فعلا و لسوء الحظ قل الجمال تقريبا في كل شيئ لذلك هرمنا قبل اواننا عن الشيخوخه النفسيه اتحدث,ليست تهكم
14,لا يشيخ هجمه سهله قدام الباب تضيعها وتضيع على فريقك الصداره تبيني اتغاضى عنها سجل هدف كويس لكن مايكفي,ليست تهكم
